Day,Time,Sensor 1 CO2,Sensor 2 CO2,Day Type,n,Month
3-Apr,9:10,528.5,523.5,Hybrid,10,April
3-Apr,9:15,470.3,477.6,Hybrid,10,April
3-Apr,9:20,453,457.2,Hybrid,10,April
3-Apr,9:25,446.3,454.4,Hybrid,10,April
3-Apr,9:30,443.5,444.9,Hybrid,10,April
3-Apr,9:35,441.7,438.9,Hybrid,10,April
3-Apr,9:40,431.2,434.7,Hybrid,10,April
3-Apr,9:45,430.5,434.2,Hybrid,10,April
3-Apr,9:50,436.2,435.2,Hybrid,10,April
3-Apr,9:55,440.3,438.4,Hybrid,10,April
3-Apr,10:00,443.4,437,Hybrid,10,April
3-Apr,10:05,446.7,449.9,Hybrid,10,April
3-Apr,10:10,439.6,445.4,Hybrid,10,April
3-Apr,10:15,427.6,440.4,Hybrid,10,April
3-Apr,10:20,424.2,436.2,Hybrid,10,April
3-Apr,10:25,417.2,428.1,Hybrid,10,April
3-Apr,10:30,413.3,424,Hybrid,10,April
3-Apr,10:35,424.5,432.9,Hybrid,10,April
3-Apr,10:40,469.1,453.8,Hybrid,10,April
3-Apr,10:45,503.1,498.6,Hybrid,10,April
3-Apr,10:50,513.8,515.5,Hybrid,10,April
3-Apr,10:55,506.9,503.4,Hybrid,10,April
3-Apr,11:00,537.8,522.7,Hybrid,10,April
3-Apr,11:05,557.6,544.9,Hybrid,10,April
3-Apr,11:10,577.3,577.6,Hybrid,10,April
3-Apr,11:15,590.9,590.2,Hybrid,10,April
3-Apr,11:20,595.1,594.1,Hybrid,10,April
3-Apr,11:25,608.7,610.8,Hybrid,10,April
3-Apr,11:30,628.1,626.8,Hybrid,10,April
3-Apr,11:35,647.4,640.8,Hybrid,10,April
3-Apr,11:40,660.9,651.3,Hybrid,10,April
3-Apr,11:45,673.8,655.2,Hybrid,10,April
3-Apr,11:50,694.8,666.6,Hybrid,10,April
3-Apr,11:55,714.8,689.2,Hybrid,10,April
3-Apr,12:00,740.3,712.5,Hybrid,10,April
3-Apr,12:05,772.7,734.4,Hybrid,10,April
3-Apr,12:10,797.3,757.3,Hybrid,10,April
3-Apr,12:15,811.8,774.7,Hybrid,10,April
3-Apr,12:20,822.1,789.8,Hybrid,10,April
3-Apr,12:25,831.1,828.5,Hybrid,10,April
3-Apr,12:30,885.6,869.1,Hybrid,10,April
3-Apr,12:35,922.6,894.4,Hybrid,10,April
3-Apr,12:40,937.5,890.6,Hybrid,10,April
3-Apr,12:45,993.2,912.3,Hybrid,10,April
3-Apr,12:50,999.7,935.3,Hybrid,10,April
3-Apr,12:55,1003.7,924.2,Hybrid,10,April
3-Apr,13:00,970.4,908.1,Hybrid,10,April
3-Apr,13:05,935.7,894.4,Hybrid,10,April
3-Apr,13:10,912.1,887.3,Hybrid,10,April
3-Apr,13:15,906.1,886,Hybrid,10,April
3-Apr,13:20,900.3,882.3,Hybrid,10,April
3-Apr,13:25,898,889.9,Hybrid,10,April
3-Apr,13:30,904.4,906.9,Hybrid,10,April
3-Apr,13:35,907,901.9,Hybrid,10,April
3-Apr,13:40,885.8,887.4,Hybrid,10,April
3-Apr,13:45,881.8,861.7,Hybrid,10,April
3-Apr,13:50,884.4,864.9,Hybrid,10,April
3-Apr,13:55,904.4,876.7,Hybrid,10,April
3-Apr,14:00,920.8,896.3,Hybrid,10,April
3-Apr,14:05,910.9,885.9,Hybrid,10,April
3-Apr,14:10,898.3,887.5,Hybrid,10,April
3-Apr,14:15,903.5,888.5,Hybrid,10,April
3-Apr,14:20,893.6,874.6,Hybrid,10,April
3-Apr,14:25,883.9,856.7,Hybrid,10,April
3-Apr,14:30,877.2,843.7,Hybrid,10,April
3-Apr,14:35,876.9,847,Hybrid,10,April
3-Apr,14:40,885.3,854.9,Hybrid,10,April
3-Apr,14:45,895.6,854,Hybrid,10,April
3-Apr,14:50,897,849.5,Hybrid,10,April
3-Apr,14:55,881.3,834.7,Hybrid,10,April
3-Apr,15:00,887.8,851.4,Hybrid,10,April
3-Apr,15:05,897.4,878.2,Hybrid,10,April
3-Apr,15:10,891.8,881.5,Hybrid,10,April
3-Apr,15:15,889.3,861.8,Hybrid,10,April
3-Apr,15:20,870.9,844.3,Hybrid,10,April
3-Apr,15:25,881.2,869.1,Hybrid,10,April
3-Apr,15:30,887.2,870.8,Hybrid,10,April
3-Apr,15:35,882,855.2,Hybrid,10,April
3-Apr,15:40,882.2,864,Hybrid,10,April
3-Apr,15:45,892.9,872.6,Hybrid,10,April
3-Apr,15:50,911.3,876.4,Hybrid,10,April
3-Apr,15:55,923,878.5,Hybrid,10,April
3-Apr,16:00,911.9,859.3,Hybrid,10,April
3-Apr,16:05,897.4,851.1,Hybrid,10,April
3-Apr,16:10,909.2,890.9,Hybrid,10,April
3-Apr,16:15,922.5,902.9,Hybrid,10,April
3-Apr,16:20,938.7,899.6,Hybrid,10,April
3-Apr,16:25,921,865.4,Hybrid,10,April
3-Apr,16:30,906.1,872.3,Hybrid,10,April
3-Apr,16:35,904.4,899.8,Hybrid,10,April
3-Apr,16:40,909.3,892.5,Hybrid,10,April
3-Apr,16:45,911,877.8,Hybrid,10,April
3-Apr,16:50,877.6,838,Hybrid,10,April
3-Apr,16:55,894,857.8,Hybrid,10,April
3-Apr,17:00,890.5,865.5,Hybrid,10,April
4-Apr,9:10,496.9,463.5,Anchor,15,April
4-Apr,9:15,509.6,483.7,Anchor,15,April
4-Apr,9:20,519.4,493.5,Anchor,15,April
4-Apr,9:25,531.2,505.7,Anchor,15,April
4-Apr,9:30,544.8,525,Anchor,15,April
4-Apr,9:35,558.8,534.3,Anchor,15,April
4-Apr,9:40,568,540.7,Anchor,15,April
4-Apr,9:45,576.3,554.8,Anchor,15,April
4-Apr,9:50,586.9,565.2,Anchor,15,April
4-Apr,9:55,595.5,572.4,Anchor,15,April
4-Apr,10:00,608.9,580,Anchor,15,April
4-Apr,10:05,626.4,596.5,Anchor,15,April
4-Apr,10:10,674.2,631.7,Anchor,15,April
4-Apr,10:15,689.8,666.7,Anchor,15,April
4-Apr,10:20,697.3,678.4,Anchor,15,April
4-Apr,10:25,709.7,699.4,Anchor,15,April
4-Apr,10:30,729.2,723.9,Anchor,15,April
4-Apr,10:35,745.8,736.6,Anchor,15,April
4-Apr,10:40,762.3,759.5,Anchor,15,April
4-Apr,10:45,772.9,775.2,Anchor,15,April
4-Apr,10:50,774.1,776.7,Anchor,15,April
4-Apr,10:55,773.2,775.4,Anchor,15,April
4-Apr,11:00,779.5,790.1,Anchor,15,April
4-Apr,11:05,817.3,811.1,Anchor,15,April
4-Apr,11:10,837.4,818.8,Anchor,15,April
4-Apr,11:15,860.9,841.7,Anchor,15,April
4-Apr,11:20,878,863.3,Anchor,15,April
4-Apr,11:25,895.1,872.7,Anchor,15,April
4-Apr,11:30,913.9,887.5,Anchor,15,April
4-Apr,11:35,919.2,900.5,Anchor,15,April
4-Apr,11:40,922.3,906.7,Anchor,15,April
4-Apr,11:45,923.6,919.4,Anchor,15,April
4-Apr,11:50,922.5,920.6,Anchor,15,April
4-Apr,11:55,950.2,934.6,Anchor,15,April
4-Apr,12:00,996.8,969.2,Anchor,15,April
4-Apr,12:05,1005.5,995.6,Anchor,15,April
4-Apr,12:10,1013.2,1000.6,Anchor,15,April
4-Apr,12:15,1010.3,1007,Anchor,15,April
4-Apr,12:20,1005.2,1001.4,Anchor,15,April
4-Apr,12:25,1014.8,1008.7,Anchor,15,April
4-Apr,12:30,1048.9,1022.1,Anchor,15,April
4-Apr,12:35,1070,1062.1,Anchor,15,April
4-Apr,12:40,1101.4,1085.2,Anchor,15,April
4-Apr,12:45,1130.1,1091.8,Anchor,15,April
4-Apr,12:50,1124.1,1078.5,Anchor,15,April
4-Apr,12:55,1103.6,1065.5,Anchor,15,April
4-Apr,13:00,1077.5,1050.1,Anchor,15,April
4-Apr,13:05,1063.2,1044.6,Anchor,15,April
4-Apr,13:10,1056,1041.6,Anchor,15,April
4-Apr,13:15,1072.3,1045.7,Anchor,15,April
4-Apr,13:20,1113,1082.4,Anchor,15,April
4-Apr,13:25,1176.4,1117.5,Anchor,15,April
4-Apr,13:30,1220.5,1155.7,Anchor,15,April
4-Apr,13:35,1232,1167.7,Anchor,15,April
4-Apr,13:40,1237.9,1147.2,Anchor,15,April
4-Apr,13:45,1205.3,1134,Anchor,15,April
4-Apr,13:50,1158.1,1115.7,Anchor,15,April
4-Apr,13:55,1119.2,1116.1,Anchor,15,April
4-Apr,14:00,1095.2,1098.4,Anchor,15,April
4-Apr,14:05,1074.5,1084.7,Anchor,15,April
4-Apr,14:10,1071,1093.7,Anchor,15,April
4-Apr,14:15,1081.5,1086,Anchor,15,April
4-Apr,14:20,1071.3,1079.7,Anchor,15,April
4-Apr,14:25,1067.6,1091.5,Anchor,15,April
4-Apr,14:30,1075,1096.5,Anchor,15,April
4-Apr,14:35,1094.8,1092.8,Anchor,15,April
4-Apr,14:40,1093.6,1087.5,Anchor,15,April
4-Apr,14:45,1071.8,1083.6,Anchor,15,April
4-Apr,14:50,1050.9,1073.9,Anchor,15,April
4-Apr,14:55,1041.3,1060.8,Anchor,15,April
4-Apr,15:00,1031.7,1057.3,Anchor,15,April
4-Apr,15:05,1033.5,1059.1,Anchor,15,April
4-Apr,15:10,1033.9,1037.2,Anchor,15,April
4-Apr,15:15,1031.5,1038.7,Anchor,15,April
4-Apr,15:20,1019.2,1044.7,Anchor,15,April
4-Apr,15:25,1017.5,1043.1,Anchor,15,April
4-Apr,15:30,1013.6,1043.2,Anchor,15,April
4-Apr,15:35,1011.6,1035.8,Anchor,15,April
4-Apr,15:40,1003.7,1028.3,Anchor,15,April
4-Apr,15:45,998.2,1020.2,Anchor,15,April
4-Apr,15:50,1020.6,1036,Anchor,15,April
4-Apr,15:55,1051.8,1051.4,Anchor,15,April
4-Apr,16:00,1054.7,1063.3,Anchor,15,April
4-Apr,16:05,1041.8,1049.1,Anchor,15,April
4-Apr,16:10,1032.3,1036.7,Anchor,15,April
4-Apr,16:15,1026.6,1038.3,Anchor,15,April
4-Apr,16:20,1019,1036.3,Anchor,15,April
4-Apr,16:25,1014.2,1022.9,Anchor,15,April
4-Apr,16:30,1008.8,1024.1,Anchor,15,April
4-Apr,16:35,1012,1014.9,Anchor,15,April
4-Apr,16:40,1005.4,1005.5,Anchor,15,April
4-Apr,16:45,1004.2,1003,Anchor,15,April
4-Apr,16:50,997.5,986.6,Anchor,15,April
4-Apr,16:55,990.5,989.7,Anchor,15,April
4-Apr,17:00,991,989.4,Anchor,15,April
5-Apr,9:10,554,565.6,Anchor,18,April
5-Apr,9:15,569.8,579.8,Anchor,18,April
5-Apr,9:20,581.2,590.4,Anchor,18,April
5-Apr,9:25,589.3,602.7,Anchor,18,April
5-Apr,9:30,602.2,623.5,Anchor,18,April
5-Apr,9:35,623.4,632.1,Anchor,18,April
5-Apr,9:40,644.4,638.5,Anchor,18,April
5-Apr,9:45,651.4,650.3,Anchor,18,April
5-Apr,9:50,654,666,Anchor,18,April
5-Apr,9:55,668,679.8,Anchor,18,April
5-Apr,10:00,681,682.5,Anchor,18,April
5-Apr,10:05,687.5,693.1,Anchor,18,April
5-Apr,10:10,703.7,707.9,Anchor,18,April
5-Apr,10:15,714.4,732.7,Anchor,18,April
5-Apr,10:20,728.3,753.8,Anchor,18,April
5-Apr,10:25,750.2,765.3,Anchor,18,April
5-Apr,10:30,749.5,779.4,Anchor,18,April
5-Apr,10:35,749.4,784.7,Anchor,18,April
5-Apr,10:40,758.3,784.4,Anchor,18,April
5-Apr,10:45,767.8,796.8,Anchor,18,April
5-Apr,10:50,769,810.2,Anchor,18,April
5-Apr,10:55,776.9,815,Anchor,18,April
5-Apr,11:00,795.9,832.7,Anchor,18,April
5-Apr,11:05,810.9,840,Anchor,18,April
5-Apr,11:10,822.2,849,Anchor,18,April
5-Apr,11:15,854.2,879.1,Anchor,18,April
5-Apr,11:20,881.4,909.1,Anchor,18,April
5-Apr,11:25,919.6,950.2,Anchor,18,April
5-Apr,11:30,955,990.6,Anchor,18,April
5-Apr,11:35,986.1,1020.6,Anchor,18,April
5-Apr,11:40,1002.6,1038.8,Anchor,18,April
5-Apr,11:45,998.2,1037.6,Anchor,18,April
5-Apr,11:50,1003.7,1036.9,Anchor,18,April
5-Apr,11:55,1000.2,1043.4,Anchor,18,April
5-Apr,12:00,996.2,1046.8,Anchor,18,April
5-Apr,12:05,1003.1,1030.8,Anchor,18,April
5-Apr,12:10,1001.7,1029.8,Anchor,18,April
5-Apr,12:15,992.9,1025.4,Anchor,18,April
5-Apr,12:20,995.8,1027.4,Anchor,18,April
5-Apr,12:25,1001.2,1038.1,Anchor,18,April
5-Apr,12:30,1025.2,1061.4,Anchor,18,April
5-Apr,12:35,1145.6,1182,Anchor,18,April
5-Apr,12:40,1220.7,1290.1,Anchor,18,April
5-Apr,12:45,1245.8,1333.5,Anchor,18,April
5-Apr,12:50,1289.3,1342,Anchor,18,April
5-Apr,12:55,1350.3,1349.5,Anchor,18,April
5-Apr,13:00,1312,1297,Anchor,18,April
5-Apr,13:05,1244.6,1252.6,Anchor,18,April
5-Apr,13:10,1184.6,1181.6,Anchor,18,April
5-Apr,13:15,1133.6,1142.8,Anchor,18,April
5-Apr,13:20,1102.2,1123.7,Anchor,18,April
5-Apr,13:25,1063.1,1103.6,Anchor,18,April
5-Apr,13:30,1063.2,1081.4,Anchor,18,April
5-Apr,13:35,1068.2,1084.3,Anchor,18,April
5-Apr,13:40,1083.4,1087.1,Anchor,18,April
5-Apr,13:45,1100.9,1102.5,Anchor,18,April
5-Apr,13:50,1113.1,1120.3,Anchor,18,April
5-Apr,13:55,1124.6,1118.2,Anchor,18,April
5-Apr,14:00,1130.5,1127.9,Anchor,18,April
5-Apr,14:05,1158.2,1152.7,Anchor,18,April
5-Apr,14:10,1209.9,1193.4,Anchor,18,April
5-Apr,14:15,1215.2,1255.2,Anchor,18,April
5-Apr,14:20,1216.7,1297,Anchor,18,April
5-Apr,14:25,1234,1285.4,Anchor,18,April
5-Apr,14:30,1263,1286,Anchor,18,April
5-Apr,14:35,1283.4,1301.4,Anchor,18,April
5-Apr,14:40,1306.3,1336.3,Anchor,18,April
5-Apr,14:45,1304.4,1338.7,Anchor,18,April
5-Apr,14:50,1300.4,1335.1,Anchor,18,April
5-Apr,14:55,1291.4,1356.7,Anchor,18,April
5-Apr,15:00,1316.8,1373.3,Anchor,18,April
5-Apr,15:05,1316.5,1368.9,Anchor,18,April
5-Apr,15:10,1316.6,1373.2,Anchor,18,April
5-Apr,15:15,1351,1405.5,Anchor,18,April
5-Apr,15:20,1363,1431.1,Anchor,18,April
5-Apr,15:25,1376.4,1444,Anchor,18,April
5-Apr,15:30,1383.8,1458.9,Anchor,18,April
5-Apr,15:35,1396.2,1473.5,Anchor,18,April
5-Apr,15:40,1410.3,1488,Anchor,18,April
5-Apr,15:45,1419.7,1505.6,Anchor,18,April
5-Apr,15:50,1436.1,1508.1,Anchor,18,April
5-Apr,15:55,1457.7,1508.7,Anchor,18,April
5-Apr,16:00,1475.3,1517.9,Anchor,18,April
5-Apr,16:05,1465.8,1518.8,Anchor,18,April
5-Apr,16:10,1458.5,1513.3,Anchor,18,April
5-Apr,16:15,1448.3,1507.3,Anchor,18,April
5-Apr,16:20,1449.5,1507.1,Anchor,18,April
5-Apr,16:25,1450.6,1494.2,Anchor,18,April
5-Apr,16:30,1435.8,1476.4,Anchor,18,April
5-Apr,16:35,1428.3,1469.8,Anchor,18,April
5-Apr,16:40,1420.8,1459.3,Anchor,18,April
5-Apr,16:45,1407.3,1445,Anchor,18,April
5-Apr,16:50,1382.1,1426.7,Anchor,18,April
5-Apr,16:55,1370,1416.8,Anchor,18,April
5-Apr,17:00,1357.4,1411.5,Anchor,18,April
6-Apr,9:10,517.3,500.9,Hybrid,13,April
6-Apr,9:15,524.9,507,Hybrid,13,April
6-Apr,9:20,531.6,514,Hybrid,13,April
6-Apr,9:25,535.4,518.4,Hybrid,13,April
6-Apr,9:30,542.3,525.7,Hybrid,13,April
6-Apr,9:35,552.1,531.5,Hybrid,13,April
6-Apr,9:40,558,544.8,Hybrid,13,April
